run_id,variant,entity_id,entity_profile,sequence_no,scheduled_at,datm_start_at,datm_end_at,datm_processing_ms,submit_at,tx_hash,receipt_at,tx_status,gas_used,effective_gas_price,block_number,block_hash,block_timestamp,confirmation_latency_ms,block_inclusion_latency_ms,end_to_end_latency_ms,ats,trust_state,calc_timestamp,input_hash,error_code,error_message
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,9,2026-07-13T10:45:05.625Z,2026-07-13T10:45:05.625Z,2026-07-13T10:45:05.625Z,0,2026-07-13T10:45:05.768Z,0x53071b535317e739539f54bef2413c5cc93fe65488502a9c4933e45f8d42b036,2026-07-13T10:45:09.996Z,success,37775,1000,6378093,0xc428e85596f5db8d13c68d1e414b209e02f89ee9f93e56a51c60a3e609cce5a0,2026-07-13T10:45:09.996Z,4228,4228,4371,92,Trusted,2026-07-13T10:45:05.427Z,0x48d874571605af952df7c18a5ee6b12afdb107539db2228d11ae06d74c379eae,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,9,2026-07-13T10:45:05.625Z,2026-07-13T10:45:05.625Z,2026-07-13T10:45:05.625Z,0,2026-07-13T10:45:05.769Z,0x9286160ee3d01bdd4242acf3a1f10b4648169b806e45c13d1f5f603456eb053f,2026-07-13T10:45:10.022Z,success,37775,1000,6378093,0xc428e85596f5db8d13c68d1e414b209e02f89ee9f93e56a51c60a3e609cce5a0,2026-07-13T10:45:10.022Z,4253,4253,4397,93,Trusted,2026-07-13T10:45:05.427Z,0x3133a23d404bd4b075adb3b0fd9d93b97e87905acd3d4aebce4d9403638ccab1,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,10,2026-07-13T10:45:15.131Z,2026-07-13T10:45:15.131Z,2026-07-13T10:45:15.131Z,0,2026-07-13T10:45:15.234Z,0x2aa8250293272771b94302e97b211292dc1756832ed3fe0b8de7d65c095a9315,2026-07-13T10:45:19.503Z,success,37775,1000,6378095,0x4511723668a8cf52d10c104287a8cf72902095aa10852e1c327a8c265c4deae0,2026-07-13T10:45:19.503Z,4269,4269,4372,91,Trusted,2026-07-13T10:45:15.427Z,0x854186181bb04513ae2268ddbf88db527fa75267934b16f8f5c9311dde0dc5d2,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,10,2026-07-13T10:45:15.133Z,2026-07-13T10:45:15.133Z,2026-07-13T10:45:15.133Z,0,2026-07-13T10:45:15.261Z,0x873cd0d5c32b639f560b6e44c9c067c755ffe9adca0d994017193602ea68f1cb,2026-07-13T10:45:19.479Z,success,37775,1000,6378095,0x4511723668a8cf52d10c104287a8cf72902095aa10852e1c327a8c265c4deae0,2026-07-13T10:45:19.479Z,4218,4218,4346,93,Trusted,2026-07-13T10:45:15.427Z,0x1fa557ac05204c50b9420a7a5c84941c5179c3a6cfa7b41c5dd280ed3e52c6bf,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,10,2026-07-13T10:45:15.134Z,2026-07-13T10:45:15.134Z,2026-07-13T10:45:15.134Z,0,2026-07-13T10:45:15.262Z,0xf9126caab837f1f2b4f980a7b9ede19c2e62a640b181a5815434092a4ce32978,2026-07-13T10:45:19.480Z,success,37775,1000,6378095,0x4511723668a8cf52d10c104287a8cf72902095aa10852e1c327a8c265c4deae0,2026-07-13T10:45:19.480Z,4218,4218,4346,93,Trusted,2026-07-13T10:45:15.427Z,0x6db81c0a6b53fd404bc2fddfce01ea4a7ba27cce360e37358d68a06acb99a9ed,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,11,2026-07-13T10:45:24.612Z,2026-07-13T10:45:24.612Z,2026-07-13T10:45:24.612Z,0,2026-07-13T10:45:24.720Z,0x3357a7eb1df60a8028d373160ffb68a856786201d4a111522c9a332641759cfb,2026-07-13T10:45:33.071Z,success,37763,1000,6378097,0x893116db5b6dad3d70fd67267bc8ebfa2abfa0beb95e0ee89646aefc5da6b13b,2026-07-13T10:45:33.071Z,8351,8351,8459,92,Trusted,2026-07-13T10:45:25.427Z,0x288905007ef2c1c578a0d43eb7428e066f9ba566db101074e3a13aa16fb1c5e2,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,11,2026-07-13T10:45:24.614Z,2026-07-13T10:45:24.614Z,2026-07-13T10:45:24.614Z,0,2026-07-13T10:45:24.721Z,0x204caf62c107b758b60a8a84e4af335a77e2ab7c53645a1cbe2664342a0239a2,2026-07-13T10:45:32.987Z,success,37775,1000,6378097,0x893116db5b6dad3d70fd67267bc8ebfa2abfa0beb95e0ee89646aefc5da6b13b,2026-07-13T10:45:32.987Z,8266,8266,8373,92,Trusted,2026-07-13T10:45:25.427Z,0x747027186746f594eb44100e6afb67c163f8f7c5ec6ed57b5bb7e950840e33b7,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,11,2026-07-13T10:45:24.615Z,2026-07-13T10:45:24.615Z,2026-07-13T10:45:24.615Z,0,2026-07-13T10:45:24.748Z,0x51aeafc056ecc36d467516f8521f07395a74cc96f26c5b73f4cd0ece6e9199c2,2026-07-13T10:45:33.011Z,success,37775,1000,6378097,0x893116db5b6dad3d70fd67267bc8ebfa2abfa0beb95e0ee89646aefc5da6b13b,2026-07-13T10:45:33.011Z,8263,8263,8396,91,Trusted,2026-07-13T10:45:25.427Z,0xb939ce1491e028f5ff631ee7f5b88b1a49fd634daea447760971a27d1c88229f,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,12,2026-07-13T10:45:38.172Z,2026-07-13T10:45:38.172Z,2026-07-13T10:45:38.172Z,0,2026-07-13T10:45:38.275Z,0x503cba171e7f29e45e0266504e5887b8464134774e882dfcde2720bafa2866f0,2026-07-13T10:45:42.535Z,success,37775,1000,6378099,0x7742c81862ae8096c21f5cf979dabd89beaecd9adaf815b2476d69da9fdf1c70,2026-07-13T10:45:42.535Z,4260,4260,4363,93,Trusted,2026-07-13T10:45:35.427Z,0xeb8cc030c55df678fbf8f6cec3ee07ad2224cc2eaf954a9722ea06127629c5ae,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,12,2026-07-13T10:45:38.173Z,2026-07-13T10:45:38.173Z,2026-07-13T10:45:38.173Z,0,2026-07-13T10:45:38.304Z,0x94bd4a7afca1b9538972864d9c9860e0dfaf37e3f99533375a4c27b91df6ee90,2026-07-13T10:45:42.557Z,success,37775,1000,6378099,0x7742c81862ae8096c21f5cf979dabd89beaecd9adaf815b2476d69da9fdf1c70,2026-07-13T10:45:42.557Z,4253,4253,4384,92,Trusted,2026-07-13T10:45:35.427Z,0xd8cf3a2dde94d302cd36496931d2ecadc4ddc2e79e81a918f1d5cfd44c06202b,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,12,2026-07-13T10:45:38.174Z,2026-07-13T10:45:38.174Z,2026-07-13T10:45:38.174Z,0,2026-07-13T10:45:38.305Z,0x095f46492fce648bb2240cf034e6397a28851bd0b18bb62362e2f14b694a77c9,2026-07-13T10:45:42.526Z,success,37775,1000,6378099,0x7742c81862ae8096c21f5cf979dabd89beaecd9adaf815b2476d69da9fdf1c70,2026-07-13T10:45:42.526Z,4221,4221,4352,93,Trusted,2026-07-13T10:45:35.427Z,0x2f4650e420f8ec7231905c162759a5aafc43f5df01cb9c6fbaa10d2d34157ea2,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,13,2026-07-13T10:45:47.680Z,2026-07-13T10:45:47.680Z,2026-07-13T10:45:47.680Z,0,2026-07-13T10:45:47.804Z,0xd6e2641c9380ba8c2c1c41787ab424ee6927920b69ba5ae400be8b7246f725cb,2026-07-13T10:45:52.054Z,success,37775,1000,6378101,0xc3421463440eebb44822f2bd2edf66c8d23a64884eb7b4cf06d917c867b0c892,2026-07-13T10:45:52.054Z,4250,4250,4374,92,Trusted,2026-07-13T10:45:45.427Z,0x218df87c4cc4764ee612ecc7b365f90df772faa12f88ff0e68fe3b786eb8ce14,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,13,2026-07-13T10:45:47.682Z,2026-07-13T10:45:47.682Z,2026-07-13T10:45:47.682Z,0,2026-07-13T10:45:47.832Z,0x1bac29059b1a0e219e9e5a9886ea67208f142578c8043471e6fec18b1c5440cb,2026-07-13T10:45:52.089Z,success,37775,1000,6378101,0xc3421463440eebb44822f2bd2edf66c8d23a64884eb7b4cf06d917c867b0c892,2026-07-13T10:45:52.089Z,4257,4257,4407,93,Trusted,2026-07-13T10:45:45.427Z,0x78a9b6e254523cf272b4d2138b8090da0b6cecb0cb41b95917d76603e1eef710,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,13,2026-07-13T10:45:47.682Z,2026-07-13T10:45:47.682Z,2026-07-13T10:45:47.682Z,0,2026-07-13T10:45:47.832Z,0xba825d6dfd1b1df4e18e2e523acb013906c881fa474e6a4bf07383c59972624e,2026-07-13T10:45:52.067Z,success,37775,1000,6378101,0xc3421463440eebb44822f2bd2edf66c8d23a64884eb7b4cf06d917c867b0c892,2026-07-13T10:45:52.067Z,4235,4235,4385,93,Trusted,2026-07-13T10:45:45.427Z,0xa8eb836b2cd4ac670b223626cbe063afa6e72e694cafc94c764294360e222e2c,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,14,2026-07-13T10:45:57.207Z,2026-07-13T10:45:57.207Z,2026-07-13T10:45:57.207Z,0,2026-07-13T10:45:57.328Z,0x02045a4068804b90d359047c176c2d5ceebd3434e79bc39f7bf8cf170626a445,2026-07-13T10:46:01.557Z,success,37775,1000,6378103,0x313a0f71f05227b2dad53cdfcd8133a01e9e0b384454fa75ec6451bf71cee5f9,2026-07-13T10:46:01.557Z,4229,4229,4350,92,Trusted,2026-07-13T10:45:55.427Z,0x7c03f139d88e8c21aca0c8055059391be5bd7a99d8a2434e94022e173f3ce0b7,,variant-batch live execution
