comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-02-normal-14,entity-02-normal,14,0xbb0d446a2dbbfb99fa8336d141e5b6ca9c05907f98ebe02d0ad44a2ed80da4ad,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-14,entity-03-normal,14,0x2007fa1b3a243bf39ec172fd7835ff12bfdd0e07141daf0cc8ac48da2dee83a3,91,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-15,entity-01-normal,15,0x7e4ffcc62a285e54423982b9d3d9ff77fb074852df855da268162f053355733c,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-15,entity-02-normal,15,0x9e2c587d5c7cf0b0a3549baa0fa0393171d5e3ab933fb397db53c46a89d9dcbc,91,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-15,entity-03-normal,15,0x4d248b402c19c7d4a9002124f9fd94d37f8fba6bb4a0b750897132a3989cf8ef,93,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-16,entity-01-normal,16,0xc671e5c245ad23057aacad52a28d4f3b249258f388374e99db32486dd09779ae,90,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-16,entity-02-normal,16,0xeb4935aa1a18a6666383e45bf6f88d17f7b33d86b1cc423e200fd8b3f56a7283,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-16,entity-03-normal,16,0xad27cc9b16c88a930c31554e7043b66b67c2679be573e1d3531b64a9edbcf823,92,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-17,entity-01-normal,17,0x57cf6840e399f17efc67935a4768dbb9f56875406b21d7f869a928ec2dbc71b6,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-17,entity-02-normal,17,0x9569edaaf1dbbb04d926a3944520ea0b0b80afcae268da9753d4f31a0a497917,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-17,entity-03-normal,17,0x6efceaf6731b649cb9a8c49d6959635e1fddaa82fc7bd4ebdb79ff409caf9f5d,92,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-18,entity-01-normal,18,0x1ca0c85a33b6c2f5c40cfcd4ca6513dc39898e17c0009e7c67f91c4d5929ceb5,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-18,entity-02-normal,18,0xa4ff93fd3a6a2af05238548c5c18132cda62d7fd8ab13c13dae7759040d4181f,91,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-18,entity-03-normal,18,0x2fa6aa1c5cee0078c41bb1a997092e8cf0a4c64a587842212a4b9922b092d55a,92,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-19,entity-01-normal,19,0x997fc6fe25fe27bc7714290db0dd5b3f211716010ecd11ffdca9b0b6b097c4bb,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-19,entity-02-normal,19,0x52e87d9a3b42c1e62c994c7dafdf9e553ffa0e50d5fe0c6fe0a23724d71cd86b,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-19,entity-03-normal,19,0xc7be49801fd6cf5c8e46679b989c23c8081ac7ff489364b0cd4140289e493e7e,93,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-20,entity-01-normal,20,0x2ebaf39e44eedfe9206f03848d968c8190b049905e4ce19fb83af385e8ec422c,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-20,entity-02-normal,20,0xc9f97c67ddecb1c99bd6ba7bd6988ea99a74da641520c911d44767e63c6dd20d,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-20,entity-03-normal,20,0x66a50098429899aaef57ba7ff8edd5070d65141edf22111e1d26e26a375ffde8,91,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-21,entity-01-normal,21,0x3e961f53a4dfcdc0dae333713b2c972eab1a7a4757815794f62e9e8e46ef2c6e,91,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-21,entity-02-normal,21,0x1e7a4be2e61c4d4944275950efb1cca3c67e83a32da9e2186ca0c086e6e1d639,89,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-21,entity-03-normal,21,0x67710c9125a26222a2c5fd376cdd0ab7a0b8f0e452a8ea65c46ff0be7b156d12,91,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-22,entity-01-normal,22,0x20de2809859b1fed115d7d6f894d4d1222d8e05011cf1fdc49221589f143b729,91,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-22,entity-02-normal,22,0x09c5de08ea5623f3f9fd2bb137611a1fd26dbdad6511f01a2dcad7d783192f07,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-22,entity-03-normal,22,0x9971f413fb0dc0f824cc8c9039b65ee2659090dc8c8adac35238b80546821e22,92,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-23,entity-01-normal,23,0x4298d8eff07b42a5c805cf4028e4d26b2c041ffdba05fe21233f6db9ec170bf7,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-23,entity-02-normal,23,0x1602e1129325b85b49d77971235840495b3255b51c9b8e655347cb27685a815a,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-23,entity-03-normal,23,0x8ff26a4c50d7eb081ff575fc8ad1896ce29e0fd1b4b8a46a30926da190a82863,92,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-24,entity-01-normal,24,0xe55b3314dc23d44a6110285f1a05ed9b695f0fa00cd03241ec452f5d3da53515,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-24,entity-02-normal,24,0x757550be661f34715ed2915cda223e278bb558d4365de9b8df8d9dd8cc36f5e0,91,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-24,entity-03-normal,24,0xb1c464d7ed74d5fc0550bc3055e34b7c321ede380d67cb700dc1afeab7634ff5,92,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-25,entity-01-normal,25,0x4d8db7610d483df00d0af650bab393aa26959667dc2889ff98778ee59ed4503c,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-25,entity-02-normal,25,0x01e0ffd607e58518582db1bf59b31922a23e776f646d6ea99d1fd09552706e4b,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-25,entity-03-normal,25,0xe3d8de7aa1f1195b7f17178e318b727f47f9eb08563316a99db95f2a12f0344f,93,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-26,entity-01-normal,26,0x6f2ae0aa4bf92ce78d7dbe67e380e2f95527ea739f7e4083b3b53b0ed7a7725d,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-26,entity-02-normal,26,0x3416e7031014b7493eafb487e0ccdb05b339121fbd32e8874d8d3a600c09d05e,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-26,entity-03-normal,26,0xbfdfe247d6b1688e5f113fb015ca7d9f0556bf0e5ba3bdffb3632d3e27533e0e,91,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-27,entity-01-normal,27,0x06946abf57854182363f7a21c2719304090decc21354bd362d265057165cccdb,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-27,entity-02-normal,27,0xdf570fc54eb41900680629163f5c701b83fe86abeb19d2fbe4f31240e60997f3,91,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-27,entity-03-normal,27,0xea91bf43dfde36806cc070afb9b6ad0825c5d8adc3b2e01e37a661ed53fddb72,93,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-28,entity-01-normal,28,0xfc966108c45a0624bbdc5c327f1215de3476e23773880a3f8ff048efabbeab46,91,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-28,entity-02-normal,28,0xd6c9fedf06ae994c8f0dddc94b9e7b9b9301b60ffb15fd6d7e07c0ccda3411ad,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-28,entity-03-normal,28,0xaa133fa1078ed516f2a72da9dd7ba1ef5da4c215a5586a94605aa8586f9d2db3,92,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-29,entity-01-normal,29,0xdbf502e65b251a881abb1730066ad01bbd371932f0ae337be561a7424a0e1c4c,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-29,entity-02-normal,29,0xa7aa7414adc037211bdb1b4611ef607f3791622b347240564da5c1832f19b992,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-29,entity-03-normal,29,0x0f9125cc3434bdb85219e3e8897b972146c25d1a5812500c2543791a520e3e2d,92,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-30,entity-01-normal,30,0x2331bf4d8f7ed35c6be5ef8c716e4106f1a7588f12c5f0f2a6f8d1c45a785294,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-30,entity-02-normal,30,0xeed55865a8775a9025907c7e5455f113c1fe3a49ef71362cf7cbb790afb38d15,91,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-30,entity-03-normal,30,0x27a36bc7b2a5b0a4d139056ad7bf483c5e7664e664f400f644e4025f4b1e6002,92,Trusted,,,,,true,,,,A live result matches expected state
