comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-05-suspicious-11,entity-05-suspicious,11,0x559e242c405dd08458663f547e200eed3df2fd5eb66f2c2785bc07c1bae94168,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-11,entity-06-suspicious,11,0x72e71f1b0206a2091ef4239b5957f8f56830ed00d6b2028fbddb4058310b2733,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-12,entity-01-normal,12,0xeb8cc030c55df678fbf8f6cec3ee07ad2224cc2eaf954a9722ea06127629c5ae,,,93,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-12,entity-02-normal,12,0xd8cf3a2dde94d302cd36496931d2ecadc4ddc2e79e81a918f1d5cfd44c06202b,,,92,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-12,entity-03-normal,12,0x2f4650e420f8ec7231905c162759a5aafc43f5df01cb9c6fbaa10d2d34157ea2,,,93,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-12,entity-04-normal,12,0xf3e90d7a1cc8021c0c9f1a4ff4a47597460642092f4ee6cf785cc85e65f07d37,,,93,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-12,entity-05-suspicious,12,0xfac4fd2cec1af0cce8740f03b0a88f609e66e08f218b061e80457dfdc9e4e63f,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-12,entity-06-suspicious,12,0xe62efb5e958fdbeafd6768eac955a33fcb8e417ce23a49e51ef68c1942760bc7,,,62,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-13,entity-01-normal,13,0x218df87c4cc4764ee612ecc7b365f90df772faa12f88ff0e68fe3b786eb8ce14,,,92,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-13,entity-02-normal,13,0x78a9b6e254523cf272b4d2138b8090da0b6cecb0cb41b95917d76603e1eef710,,,93,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-13,entity-03-normal,13,0xa8eb836b2cd4ac670b223626cbe063afa6e72e694cafc94c764294360e222e2c,,,93,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-13,entity-04-normal,13,0xda8e7f589bbad4e518c4343a0d1a37e402d58a1f557a6dff4e9c7e7279723adc,,,92,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-13,entity-05-suspicious,13,0xc3951fa653b603835cacb1fc2ee34536be1f2988805ee0f48ba5a7a8a1f25f93,,,62,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-13,entity-06-suspicious,13,0x82779d1f4271c91cb5e08fb14a830bdfa7072a84282840084ba97223c837155d,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-14,entity-01-normal,14,0x7c03f139d88e8c21aca0c8055059391be5bd7a99d8a2434e94022e173f3ce0b7,,,92,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-14,entity-02-normal,14,0xbb0d446a2dbbfb99fa8336d141e5b6ca9c05907f98ebe02d0ad44a2ed80da4ad,,,93,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-14,entity-03-normal,14,0x2007fa1b3a243bf39ec172fd7835ff12bfdd0e07141daf0cc8ac48da2dee83a3,,,91,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-14,entity-04-normal,14,0x31c41263104f32b02d6972faec830fccccba050362023089b3527c260acf86c3,,,92,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-14,entity-05-suspicious,14,0x8fdc3db68830c8da854e382507a6d38b5a04d7ecc22ae1fa3bb625426757d8ff,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-14,entity-06-suspicious,14,0xda649a039f6ad7114333d8ab1f74744a99470bf2e78fcf087931f0c6f7eb2c6f,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-15,entity-01-normal,15,0x7e4ffcc62a285e54423982b9d3d9ff77fb074852df855da268162f053355733c,,,93,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-15,entity-02-normal,15,0x9e2c587d5c7cf0b0a3549baa0fa0393171d5e3ab933fb397db53c46a89d9dcbc,,,91,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-15,entity-03-normal,15,0x4d248b402c19c7d4a9002124f9fd94d37f8fba6bb4a0b750897132a3989cf8ef,,,93,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-15,entity-04-normal,15,0xac38143746bec7898102c29fdf97585bea09b1b5c0b84a31b1999544453d9a2f,,,93,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-15,entity-05-suspicious,15,0x04cd1557306e00269b83f752da0a7afc5e6e3cf4807d10df6ad62b89b18ad938,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-15,entity-06-suspicious,15,0xc02e3873f0427686f6dda5c1f68de435b35ea0ebe9f6f8d303eee2e0e636c4d2,,,64,Suspicious,,,true,,,,B live result matches expected state
