comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-08-malicious-9,entity-08-malicious,9,0x9d79b6e056ad71977c91bd073a0788ce8339098a32c2144ac8177f53f7c52c34,28,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-9,entity-09-malicious,9,0x408803a29be81a418c2f2a02d43a91a28145f21d9e3a6ed7ae765aa780fe5513,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-9,entity-10-malicious,9,0xcc1a956c2a91e5e1028e7ca20d430746a702c4c15c50601d77df360ccc0d3902,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-10,entity-01-normal,10,0x854186181bb04513ae2268ddbf88db527fa75267934b16f8f5c9311dde0dc5d2,91,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-10,entity-02-normal,10,0x1fa557ac05204c50b9420a7a5c84941c5179c3a6cfa7b41c5dd280ed3e52c6bf,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-10,entity-03-normal,10,0x6db81c0a6b53fd404bc2fddfce01ea4a7ba27cce360e37358d68a06acb99a9ed,93,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-10,entity-04-normal,10,0x2baa3507acc02cf913191828116945399383a7b3caa51df4f894b49535c3a304,91,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-10,entity-05-suspicious,10,0xc70621dfd3aa1f1e45f5455e6931eb587119b3dea0eeed23af68f143596ccdee,61,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-10,entity-06-suspicious,10,0x82152fd64a43bdba7740e2bb498c43a7501fac6059528394961bddabbdfef776,60,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-10,entity-07-suspicious,10,0x1b1fb82cfaab9c5df4b6c0558798d1e428eb9d965759dd3a1ce0eb08528ed7f1,63,Suspicious,,,,,true,,,,A live result matches expected state
entity-08-malicious-10,entity-08-malicious,10,0xac15e00851d80974fabfa70ba4ac8c306646e9ea2f5f16b9f56d2e0c071fd4c0,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-10,entity-09-malicious,10,0xcf1f6e5673ccb54a58f24b752d08982bb59e3cb65bc45aeb598c1d6de30bad2e,27,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-10,entity-10-malicious,10,0x62107fb00b9eaeda83f524345ee0d59430cefd9934f981dfc48b3755ee054038,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-11,entity-01-normal,11,0x288905007ef2c1c578a0d43eb7428e066f9ba566db101074e3a13aa16fb1c5e2,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-11,entity-02-normal,11,0x747027186746f594eb44100e6afb67c163f8f7c5ec6ed57b5bb7e950840e33b7,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-11,entity-03-normal,11,0xb939ce1491e028f5ff631ee7f5b88b1a49fd634daea447760971a27d1c88229f,91,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-11,entity-04-normal,11,0x4983ec7fbeb8f58caef3356b6d4637b5891e286d42f2390bfe403f6b960cdc66,92,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-11,entity-05-suspicious,11,0x559e242c405dd08458663f547e200eed3df2fd5eb66f2c2785bc07c1bae94168,60,Suspicious,,,,,true,,,,A live result matches expected state
